DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2025
"Município de residência";"Casos_Prováveis"
"110001 ALTA FLORESTA D'OESTE";63
"110002 ARIQUEMES";79
"110003 CABIXI";21
"110004 CACOAL";52
"110005 CEREJEIRAS";13
"110006 COLORADO DO OESTE";8
"110007 CORUMBIARA";82
"110008 COSTA MARQUES";10
"110009 ESPIGAO D'OESTE";74
"110010 GUAJARA-MIRIM";6
"110011 JARU";51
"110012 JI-PARANA";102
"110013 MACHADINHO D'OESTE";12
"110014 NOVA BRASILANDIA D'OESTE";12
"110015 OURO PRETO DO OESTE";15
"110018 PIMENTA BUENO";4
"110020 PORTO VELHO";148
"110025 PRESIDENTE MEDICI";66
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";180
"110029 SANTA LUZIA D'OESTE";11
"110030 VILHENA";1204
"110032 SAO MIGUEL DO GUAPORE";6
"110033 NOVA MAMORE";17
"110034 ALVORADA D'OESTE";6
"110037 ALTO ALEGRE DOS PARECIS";30
"110040 ALTO PARAISO";20
"110045 BURITIS";23
"110050 NOVO HORIZONTE DO OESTE";7
"110060 CACAULANDIA";9
"110070 CAMPO NOVO DE RONDONIA";6
"110080 CANDEIAS DO JAMARI";5
"110090 CASTANHEIRAS";19
"110092 CHUPINGUAIA";17
"110094 CUJUBIM";9
"110100 GOVERNADOR JORGE TEIXEIRA";3
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";4
"110130 MIRANTE DA SERRA";7
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";17
"110145 PARECIS";13
"110146 PIMENTEIRAS DO OESTE";13
"110147 PRIMAVERA DE RONDONIA";12
"110148 SAO FELIPE D'OESTE";4
"110149 SAO FRANCISCO DO GUAPORE";73
"110150 SERINGUEIRAS";20
"110155 TEIXEIROPOLIS";3
"110170 URUPA";6
"110175 VALE DO ANARI";33
"110180 VALE DO PARAISO";1
"120001 ACRELANDIA";19
"120005 ASSIS BRASIL";62
"120010 BRASILEIA";14
"120013 BUJARI";67
"120017 CAPIXABA";33
"120020 CRUZEIRO DO SUL";2744
"120025 EPITACIOLANDIA";67
"120030 FEIJO";582
"120032 JORDAO";4
"120033 MANCIO LIMA";70
"120034 MANOEL URBANO";61
"120035 MARECHAL THAUMATURGO";139
"120038 PLACIDO DE CASTRO";30
"120039 PORTO WALTER";232
"120040 RIO BRANCO";3480
"120042 RODRIGUES ALVES";226
"120045 SENADOR GUIOMARD";51
"120050 SENA MADUREIRA";107
"120060 TARAUACA";257
"120070 XAPURI";46
"120080 PORTO ACRE";80
"130002 ALVARAES";13
"130008 ANAMA";1
"130014 APUI";2
"130020 ATALAIA DO NORTE";670
"130030 AUTAZES";3
"130040 BARCELOS";27
"130050 BARREIRINHA";2
"130060 BENJAMIN CONSTANT";269
"130063 BERURI";3
"130068 BOA VISTA DO RAMOS";1
"130070 BOCA DO ACRE";18
"130080 BORBA";15
"130083 CAAPIRANGA";2
"130090 CANUTAMA";24
"130100 CARAUARI";8
"130110 CAREIRO";3
"130115 CAREIRO DA VARZEA";1
"130120 COARI";57
"130130 CODAJAS";38
"130140 EIRUNEPE";302
"130150 ENVIRA";290
"130160 FONTE BOA";3
"130165 GUAJARA";231
"130170 HUMAITA";9
"130180 IPIXUNA";369
"130185 IRANDUBA";14
"130190 ITACOATIARA";9
"130210 JAPURA";40
"130220 JURUA";4
"130230 JUTAI";293
"130240 LABREA";47
"130250 MANACAPURU";46
"130255 MANAQUIRI";2
"130260 MANAUS";833
"130270 MANICORE";18
"130280 MARAA";29
"130290 MAUES";30
"130320 NOVO AIRAO";44
"130330 NOVO ARIPUANA";4
"130340 PARINTINS";7
"130353 PRESIDENTE FIGUEIREDO";66
"130356 RIO PRETO DA EVA";7
"130360 SANTA ISABEL DO RIO NEGRO";8
"130370 SANTO ANTONIO DO ICA";13
"130380 SAO GABRIEL DA CACHOEIRA";10
"130395 SAO SEBASTIAO DO UATUMA";1
"130406 TABATINGA";87
"130410 TAPAUA";14
"130420 TEFE";51
"130423 TONANTINS";46
"130430 URUCARA";2
"140002 AMAJARI";1
"140005 ALTO ALEGRE";2
"140010 BOA VISTA";159
"140015 BONFIM";6
"140017 CANTA";2
"140020 CARACARAI";34
"140023 CAROEBE";1
"140028 IRACEMA";5
"140030 MUCAJAI";3
"140040 NORMANDIA";2
"140045 PACARAIMA";42
"140047 RORAINOPOLIS";10
"140050 SAO JOAO DA BALIZA";8
"140060 SAO LUIZ";6
"140070 UIRAMUTA";1
"150010 ABAETETUBA";80
"150013 ABEL FIGUEIREDO";10
"150020 ACARA";31
"150030 AFUA";118
"150034 AGUA AZUL DO NORTE";4
"150040 ALENQUER";8
"150050 ALMEIRIM";5
"150060 ALTAMIRA";558
"150070 ANAJAS";31
"150080 ANANINDEUA";182
"150085 ANAPU";152
"150090 AUGUSTO CORREA";240
"150095 AURORA DO PARA";22
"150100 AVEIRO";35
"150110 BAGRE";2
"150120 BAIAO";24
"150125 BANNACH";10
"150130 BARCARENA";174
"150140 BELEM";695
"150145 BELTERRA";22
"150150 BENEVIDES";100
"150157 BOM JESUS DO TOCANTINS";23
"150160 BONITO";1
"150170 BRAGANCA";5
"150172 BRASIL NOVO";97
"150175 BREJO GRANDE DO ARAGUAIA";6
"150178 BREU BRANCO";91
"150180 BREVES";28
"150190 BUJARU";51
"150195 CACHOEIRA DO PIRIA";2
"150210 CAMETA";45
"150215 CANAA DOS CARAJAS";388
"150220 CAPANEMA";11
"150230 CAPITAO POCO";4
"150240 CASTANHAL";185
"150260 COLARES";52
"150270 CONCEICAO DO ARAGUAIA";285
"150275 CONCORDIA DO PARA";12
"150276 CUMARU DO NORTE";96
"150277 CURIONOPOLIS";41
"150280 CURRALINHO";8
"150285 CURUA";2
"150290 CURUCA";5
"150293 DOM ELISEU";90
"150295 ELDORADO DOS CARAJAS";127
"150304 FLORESTA DO ARAGUAIA";123
"150307 GARRAFAO DO NORTE";2
"150309 GOIANESIA DO PARA";21
"150310 GURUPA";2
"150320 IGARAPE-ACU";9
"150330 IGARAPE-MIRI";36
"150340 INHANGAPI";81
"150345 IPIXUNA DO PARA";13
"150350 IRITUIA";5
"150360 ITAITUBA";741
"150370 ITUPIRANGA";60
"150375 JACAREACANGA";5
"150380 JACUNDA";256
"150390 JURUTI";5
"150400 LIMOEIRO DO AJURU";5
"150405 MAE DO RIO";4
"150410 MAGALHAES BARATA";2
"150420 MARABA";78
"150430 MARACANA";5
"150442 MARITUBA";87
"150445 MEDICILANDIA";43
