DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2025
"Município de residência";"Casos_Prováveis"
"150380 JACUNDA";255
"150390 JURUTI";3
"150400 LIMOEIRO DO AJURU";4
"150405 MAE DO RIO";4
"150410 MAGALHAES BARATA";2
"150420 MARABA";132
"150430 MARACANA";5
"150442 MARITUBA";103
"150445 MEDICILANDIA";33
"150450 MELGACO";17
"150460 MOCAJUBA";11
"150470 MOJU";15
"150475 MOJUI DOS CAMPOS";5
"150480 MONTE ALEGRE";4
"150490 MUANA";5
"150495 NOVA ESPERANCA DO PIRIA";7
"150497 NOVA IPIXUNA";15
"150503 NOVO PROGRESSO";734
"150506 NOVO REPARTIMENTO";274
"150510 OBIDOS";1
"150520 OEIRAS DO PARA";3
"150530 ORIXIMINA";2
"150540 OUREM";1
"150543 OURILANDIA DO NORTE";64
"150548 PACAJA";912
"150549 PALESTINA DO PARA";60
"150550 PARAGOMINAS";12
"150553 PARAUAPEBAS";1032
"150555 PAU D'ARCO";100
"150560 PEIXE-BOI";12
"150565 PLACAS";107
"150570 PONTA DE PEDRAS";46
"150580 PORTEL";56
"150590 PORTO DE MOZ";4
"150600 PRAINHA";12
"150610 PRIMAVERA";9
"150613 REDENCAO";688
"150616 RIO MARIA";143
"150618 RONDON DO PARA";24
"150619 RUROPOLIS";74
"150620 SALINOPOLIS";5
"150630 SALVATERRA";5
"150635 SANTA BARBARA DO PARA";153
"150650 SANTA IZABEL DO PARA";47
"150655 SANTA LUZIA DO PARA";4
"150658 SANTA MARIA DAS BARREIRAS";76
"150660 SANTA MARIA DO PARA";7
"150670 SANTANA DO ARAGUAIA";153
"150680 SANTAREM";122
"150700 SANTO ANTONIO DO TAUA";6
"150710 SAO CAETANO DE ODIVELAS";3
"150715 SAO DOMINGOS DO ARAGUAIA";97
"150720 SAO DOMINGOS DO CAPIM";13
"150730 SAO FELIX DO XINGU";128
"150740 SAO FRANCISCO DO PARA";8
"150745 SAO GERALDO DO ARAGUAIA";7
"150746 SAO JOAO DA PONTA";2
"150750 SAO JOAO DO ARAGUAIA";100
"150760 SAO MIGUEL DO GUAMA";17
"150770 SAO SEBASTIAO DA BOA VISTA";5
"150775 SAPUCAIA";127
"150780 SENADOR JOSE PORFIRIO";47
"150790 SOURE";7
"150795 TAILANDIA";81
"150796 TERRA ALTA";3
"150800 TOME-ACU";305
"150803 TRACUATEUA";6
"150805 TRAIRAO";42
"150808 TUCUMA";113
"150810 TUCURUI";76
"150812 ULIANOPOLIS";3
"150815 URUARA";310
"150820 VIGIA";5
"150830 VISEU";25
"150835 VITORIA DO XINGU";166
"150840 XINGUARA";320
"160005 SERRA DO NAVIO";136
"160010 AMAPA";2
"160015 PEDRA BRANCA DO AMAPARI";110
"160020 CALCOENE";21
"160021 CUTIAS";1
"160023 FERREIRA GOMES";67
"160027 LARANJAL DO JARI";46
"160030 MACAPA";404
"160040 MAZAGAO";143
"160050 OIAPOQUE";97
"160053 PORTO GRANDE";42
"160055 PRACUUBA";27
"160060 SANTANA";221
"160070 TARTARUGALZINHO";24
"160080 VITORIA DO JARI";8
"170025 ABREULANDIA";1
"170030 AGUIARNOPOLIS";14
"170035 ALIANCA DO TOCANTINS";9
"170040 ALMAS";39
"170070 ALVORADA";54
"170100 ANANAS";10
"170105 ANGICO";1
"170110 APARECIDA DO RIO NEGRO";3
"170130 ARAGOMINAS";5
"170190 ARAGUACEMA";16
"170200 ARAGUACU";42
"170210 ARAGUAINA";330
"170215 ARAGUANA";1
"170220 ARAGUATINS";197
"170230 ARAPOEMA";7
"170240 ARRAIAS";33
"170255 AUGUSTINOPOLIS";55
"170270 AURORA DO TOCANTINS";2
"170290 AXIXA DO TOCANTINS";15
"170300 BABACULANDIA";14
"170305 BANDEIRANTES DO TOCANTINS";1
"170307 BARRA DO OURO";3
"170310 BARROLANDIA";7
"170330 BOM JESUS DO TOCANTINS";5
"170360 BRASILANDIA DO TOCANTINS";3
"170370 BREJINHO DE NAZARE";14
"170380 BURITI DO TOCANTINS";13
"170382 CACHOEIRINHA";5
"170384 CAMPOS LINDOS";5
"170388 CARMOLANDIA";8
"170389 CARRASCO BONITO";2
"170390 CASEARA";1
"170460 CHAPADA DE AREIA";1
"170510 CHAPADA DA NATIVIDADE";7
"170550 COLINAS DO TOCANTINS";108
"170555 COMBINADO";6
"170560 CONCEICAO DO TOCANTINS";3
"170600 COUTO MAGALHAES";7
"170610 CRISTALANDIA";1
"170625 CRIXAS DO TOCANTINS";2
"170650 DARCINOPOLIS";6
"170700 DIANOPOLIS";136
"170710 DIVINOPOLIS DO TOCANTINS";5
"170720 DOIS IRMAOS DO TOCANTINS";8
"170730 DUERE";3
"170740 ESPERANTINA";11
"170755 FATIMA";2
"170765 FIGUEIROPOLIS";7
"170770 FILADELFIA";4
"170820 FORMOSO DO ARAGUAIA";33
"170825 FORTALEZA DO TABOCAO";3
"170830 GOIANORTE";8
"170900 GOIATINS";2
"170930 GUARAI";20
"170950 GURUPI";183
"170980 IPUEIRAS";4
"171050 ITACAJA";11
"171070 ITAGUATINS";7
"171110 ITAPORA DO TOCANTINS";5
"171150 JAU DO TOCANTINS";7
"171180 JUARINA";4
"171190 LAGOA DA CONFUSAO";19
"171195 LAGOA DO TOCANTINS";1
"171200 LAJEADO";6
"171240 LIZARDA";1
"171245 LUZINOPOLIS";1
"171250 MARIANOPOLIS DO TOCANTINS";4
"171270 MATEIROS";3
"171280 MAURILANDIA DO TOCANTINS";1
"171320 MIRACEMA DO TOCANTINS";204
"171330 MIRANORTE";18
"171360 MONTE DO CARMO";6
"171370 MONTE SANTO DO TOCANTINS";5
"171380 PALMEIRAS DO TOCANTINS";3
"171395 MURICILANDIA";6
"171420 NATIVIDADE";15
"171430 NAZARE";1
"171488 NOVA OLINDA";34
"171500 NOVA ROSALANDIA";7
"171510 NOVO ACORDO";2
"171515 NOVO ALEGRE";12
"171525 NOVO JARDIM";7
"171550 OLIVEIRA DE FATIMA";10
"171570 PALMEIRANTE";5
"171575 PALMEIROPOLIS";11
"171610 PARAISO DO TOCANTINS";25
"171620 PARANA";140
"171630 PAU D'ARCO";4
"171650 PEDRO AFONSO";2
"171660 PEIXE";28
"171665 PEQUIZEIRO";4
"171670 COLMEIA";8
"171700 PINDORAMA DO TOCANTINS";8
"171720 PIRAQUE";4
"171750 PIUM";11
"171780 PONTE ALTA DO BOM JESUS";1
"171790 PONTE ALTA DO TOCANTINS";18
"171800 PORTO ALEGRE DO TOCANTINS";9
"171820 PORTO NACIONAL";405
"171830 PRAIA NORTE";5
"171840 PRESIDENTE KENNEDY";3
"171845 PUGMIL";28
"171855 RIACHINHO";3
"171865 RIO DA CONCEICAO";7
"171870 RIO DOS BOIS";6
"171880 SAMPAIO";8
"171884 SANDOLANDIA";12
"171886 SANTA FE DO ARAGUAIA";1
"171890 SANTA ROSA DO TOCANTINS";8
"171900 SANTA TEREZA DO TOCANTINS";15
"172000 SANTA TEREZINHA DO TOCANTINS";1
"172020 SAO MIGUEL DO TOCANTINS";22
"172025 SAO SALVADOR DO TOCANTINS";8
"172030 SAO SEBASTIAO DO TOCANTINS";2
"172049 SAO VALERIO";1
"172065 SILVANOPOLIS";14
"172080 SITIO NOVO DO TOCANTINS";15
"172085 SUCUPIRA";5
"172090 TAGUATINGA";17
"172100 PALMAS";218
"172110 TOCANTINIA";24
"172120 TOCANTINOPOLIS";41
"172208 WANDERLANDIA";3
"172210 XAMBIOA";3
"210005 ACAILANDIA";49
"210010 AFONSO CUNHA";1
"210015 AGUA DOCE DO MARANHAO";1
"210020 ALCANTARA";4
"210030 ALDEIAS ALTAS";14
"210040 ALTAMIRA DO MARANHAO";1
"210043 ALTO ALEGRE DO MARANHAO";1
"210050 ALTO PARNAIBA";4
"210060 AMARANTE DO MARANHAO";3
"210070 ANAJATUBA";2
"210080 ANAPURUS";47
"210083 APICUM-ACU";42
"210087 ARAGUANA";1
"210090 ARAIOSES";6
"210095 ARAME";5
"210100 ARARI";4
"210110 AXIXA";2
"210120 BACABAL";36
"210125 BACABEIRA";30
"210130 BACURI";8
"210140 BALSAS";883
"210150 BARAO DE GRAJAU";25
"210160 BARRA DO CORDA";23
"210170 BARREIRINHAS";3
"210180 BENEDITO LEITE";5
"210190 BEQUIMAO";2
"210193 BERNARDO DO MEARIM";1
"210200 BOM JARDIM";5
"210203 BOM JESUS DAS SELVAS";45
"210207 BOM LUGAR";1
"210210 BREJO";3
"210220 BURITI";6
"210230 BURITI BRAVO";23
"210232 BURITICUPU";18
"210235 BURITIRANA";4
"210240 CAJAPIO";2
"210250 CAJARI";3
"210255 CAMPESTRE DO MARANHAO";10
"210270 CANTANHEDE";7
"210275 CAPINZAL DO NORTE";2
"210280 CAROLINA";8
"210290 CARUTAPERA";3
"210300 CAXIAS";19
"210317 CENTRO NOVO DO MARANHAO";12
"210320 CHAPADINHA";29
"210325 CIDELANDIA";4
"210330 CODO";4
"210340 COELHO NETO";3
"210350 COLINAS";30
"210355 CONCEICAO DO LAGO-ACU";3
"210360 COROATA";2
"210370 CURURUPU";7
"210375 DAVINOPOLIS";2
"210380 DOM PEDRO";3
"210390 DUQUE BACELAR";3
"210400 ESPERANTINOPOLIS";7
"210405 ESTREITO";5
"210407 FEIRA NOVA DO MARANHAO";9
"210408 FERNANDO FALCAO";1
"210409 FORMOSA DA SERRA NEGRA";9
"210410 FORTALEZA DOS NOGUEIRAS";2
"210420 FORTUNA";2
"210430 GODOFREDO VIANA";4
"210450 GOVERNADOR ARCHER";2
"210455 GOVERNADOR EDISON LOBAO";12
"210460 GOVERNADOR EUGENIO BARROS";1
"210462 GOVERNADOR LUIZ ROCHA";3
"210465 GOVERNADOR NEWTON BELLO";5
"210480 GRAJAU";25
"210490 GUIMARAES";1
"210500 HUMBERTO DE CAMPOS";2
"210515 IGARAPE DO MEIO";1
"210520 IGARAPE GRANDE";1
"210530 IMPERATRIZ";42
"210535 ITAIPAVA DO GRAJAU";1
"210540 ITAPECURU MIRIM";4
"210542 ITINGA DO MARANHAO";60
"210545 JATOBA";16
"210547 JENIPAPO DOS VIEIRAS";1
"210550 JOAO LISBOA";32
"210560 JOSELANDIA";4
"210565 JUNCO DO MARANHAO";121
"210570 LAGO DA PEDRA";2
"210590 LAGO VERDE";18
"210592 LAGOA DO MATO";36
"210598 LAJEADO NOVO";4
"210600 LIMA CAMPOS";1
"210610 LORETO";3
"210620 LUIS DOMINGUES";3
"210630 MAGALHAES DE ALMEIDA";1
"210632 MARACACUME";12
"210635 MARAJA DO SENA";14
"210637 MARANHAOZINHO";1
"210640 MATA ROMA";11
"210650 MATINHA";1
"210660 MATOES";57
"210663 MATOES DO NORTE";3
"210667 MILAGRES DO MARANHAO";2
"210670 MIRADOR";3
"210675 MIRANDA DO NORTE";8
"210680 MIRINZAL";1
"210690 MONCAO";2
"210700 MONTES ALTOS";4
"210710 MORROS";2
"210720 NINA RODRIGUES";3
"210725 NOVA COLINAS";5
"210730 NOVA IORQUE";10
"210735 NOVA OLINDA DO MARANHAO";1
"210740 OLHO D'AGUA DAS CUNHAS";2
"210745 OLINDA NOVA DO MARANHAO";3
"210750 PACO DO LUMIAR";25
"210770 PARAIBANO";265
"210780 PARNARAMA";67
"210790 PASSAGEM FRANCA";115
"210800 PASTOS BONS";141
"210810 PAULO RAMOS";14
"210820 PEDREIRAS";32
"210825 PEDRO DO ROSARIO";2
"210830 PENALVA";3
"210840 PERI MIRIM";1
"210845 PERITORO";1
"210850 PINDARE-MIRIM";8
"210860 PINHEIRO";5
"210870 PIO XII";9
"210880 PIRAPEMAS";2
"210890 POCAO DE PEDRAS";13
"210900 PORTO FRANCO";44
"210905 PORTO RICO DO MARANHAO";2
"210910 PRESIDENTE DUTRA";3
"210920 PRESIDENTE JUSCELINO";2
"210923 PRESIDENTE MEDICI";1
"210927 PRESIDENTE SARNEY";8
"210930 PRESIDENTE VARGAS";2
"210945 RAPOSA";8
"210950 RIACHAO";14
"210955 RIBAMAR FIQUENE";3
"210960 ROSARIO";5
"210970 SAMBAIBA";3
"210980 SANTA HELENA";39
"210990 SANTA INES";45
"211000 SANTA LUZIA";4
"211003 SANTA LUZIA DO PARUA";2
"211010 SANTA QUITERIA DO MARANHAO";1
"211020 SANTA RITA";5
"211023 SANTANA DO MARANHAO";8
"211030 SANTO ANTONIO DOS LOPES";7
"211050 SAO BENTO";4
"211060 SAO BERNARDO";7
"211065 SAO DOMINGOS DO AZEITAO";7
"211070 SAO DOMINGOS DO MARANHAO";17
"211085 SAO FRANCISCO DO BREJAO";17
"211090 SAO FRANCISCO DO MARANHAO";5
"211100 SAO JOAO BATISTA";1
"211102 SAO JOAO DO CARU";1
"211105 SAO JOAO DO PARAISO";8
"211107 SAO JOAO DO SOTER";1
"211110 SAO JOAO DOS PATOS";20
"211120 SAO JOSE DE RIBAMAR";58
"211125 SAO JOSE DOS BASILIOS";2
"211130 SAO LUIS";598
"211140 SAO LUIS GONZAGA DO MARANHAO";1
"211150 SAO MATEUS DO MARANHAO";1
"211153 SAO PEDRO DA AGUA BRANCA";10
"211157 SAO PEDRO DOS CRENTES";1
"211160 SAO RAIMUNDO DAS MANGABEIRAS";6
"211163 SAO RAIMUNDO DO DOCA BEZERRA";2
"211167 SAO ROBERTO";7
"211170 SAO VICENTE FERRER";6
"211172 SATUBINHA";1
"211174 SENADOR ALEXANDRE COSTA";4
"211176 SENADOR LA ROCQUE";2
"211178 SERRANO DO MARANHAO";14
"211180 SITIO NOVO";22
"211190 SUCUPIRA DO NORTE";76
"211195 SUCUPIRA DO RIACHAO";3
"211200 TASSO FRAGOSO";127
"211220 TIMON";103
"211223 TRIZIDELA DO VALE";2
"211230 TUNTUM";1
"211240 TURIACU";5
"211245 TURILANDIA";4
"211250 TUTOIA";6
"211260 URBANO SANTOS";7
"211280 VIANA";6
"211285 VILA NOVA DOS MARTIRIOS";15
"211290 VITORIA DO MEARIM";5
"211300 VITORINO FREIRE";30
"211400 ZE DOCA";26
"220010 AGRICOLANDIA";1
"220020 AGUA BRANCA";9
"220025 ALAGOINHA DO PIAUI";1
"220027 ALEGRETE DO PIAUI";1
"220030 ALTO LONGA";2
"220040 ALTOS";47
"220045 ALVORADA DO GURGUEIA";6
"220060 ANGICAL DO PIAUI";5
"220090 AROAZES";4
"220100 ARRAIAL";8
"220105 ASSUNCAO DO PIAUI";2
"220115 BAIXA GRANDE DO RIBEIRO";9
"220117 BARRA D'ALCANTARA";20
"220120 BARRAS";95
"220140 BARRO DURO";7
"220150 BATALHA";3
"220155 BELA VISTA DO PIAUI";1
"220160 BENEDITINOS";6
"220170 BERTOLINIA";1
"220177 BOA HORA";2
"220190 BOM JESUS";11
"220191 BOM PRINCIPIO DO PIAUI";1
"220196 BRASILEIRA";8
"220200 BURITI DOS LOPES";3
"220202 BURITI DOS MONTES";1
"220205 CABECEIRAS DO PIAUI";3
"220207 CAJAZEIRAS DO PIAUI";11
"220208 CAJUEIRO DA PRAIA";1
"220210 CAMPINAS DO PIAUI";6
"220220 CAMPO MAIOR";7
"220240 CAPITAO DE CAMPOS";33
"220253 CARAUBAS DO PIAUI";2
"220260 CASTELO DO PIAUI";2
"220265 CAXINGO";1
"220270 COCAL";4
"220271 COCAL DE TELHA";14
"220273 COIVARAS";4
"220275 COLONIA DO GURGUEIA";1
"220277 COLONIA DO PIAUI";18
"220290 CORRENTE";8
"220310 CRISTINO CASTRO";38
"220320 CURIMATA";6
"220323 CURRAIS";10
"220325 CURRALINHOS";10
"220330 DEMERVAL LOBAO";2
"220345 DOM INOCENCIO";17
"220350 ELESBAO VELOSO";18
"220370 ESPERANTINA";8
"220380 FLORES DO PIAUI";16
"220390 FLORIANO";8
"220400 FRANCINOPOLIS";29
"220410 FRANCISCO AYRES";7
"220440 GILBUES";2
"220450 GUADALUPE";7
"220460 HUGO NAPOLEAO";1
"220465 ILHA GRANDE";5
"220470 INHUMA";509
"220480 IPIRANGA DO PIAUI";59
"220490 ISAIAS COELHO";5
"220525 JARDIM DO MULATO";3
"220535 JOAO COSTA";1
"220540 JOAQUIM PIRES";1
"220550 JOSE DE FREITAS";13
"220552 JULIO BORGES";3
"220553 JUREMA";1
"220557 LAGOA DE SAO FRANCISCO";1
"220559 LAGOA DO SITIO";7
"220560 LANDRI SALES";6
"220570 LUIS CORREIA";6
"220580 LUZILANDIA";6
"220590 MANOEL EMIDIO";1
"220600 MARCOS PARENTE";7
"220620 MIGUEL ALVES";73
"220630 MIGUEL LEAO";5
"220635 MILTON BRANDAO";4
"220660 MONTE ALEGRE DO PIAUI";3
"220665 MORRO CABECA NO TEMPO";1
"220669 MURICI DOS PORTELAS";2
"220670 NAZARE DO PIAUI";77
"220672 NAZARIA";2
"220675 NOSSA SENHORA DE NAZARE";1
"220680 NOSSA SENHORA DOS REMEDIOS";4
"220690 NOVO ORIENTE DO PIAUI";30
"220695 NOVO SANTO ANTONIO";1
"220700 OEIRAS";233
"220720 PADRE MARCOS";1
"220740 PALMEIRA DO PIAUI";2
"220750 PALMEIRAIS";9
"220760 PARNAGUA";3
"220770 PARNAIBA";58
"220779 PAU D'ARCO DO PIAUI";4
"220780 PAULISTANA";1
"220790 PEDRO II";17
"220795 NOVA SANTA RITA";1
"220800 PICOS";63
"220810 PIMENTEIRAS";4
"220830 PIRACURUCA";4
"220840 PIRIPIRI";80
"220850 PORTO";6
"220855 PORTO ALEGRE DO PIAUI";5
"220860 PRATA DO PIAUI";3
"220870 REDENCAO DO GURGUEIA";42
"220880 REGENERACAO";3
"220885 RIACHO FRIO";7
"220900 RIO GRANDE DO PIAUI";1
"220920 SANTA FILOMENA";1
"220930 SANTA LUZ";4
"220935 SANTANA DO PIAUI";2
"220937 SANTA ROSA DO PIAUI";73
"220940 SANTO ANTONIO DE LISBOA";8
"220950 SANTO INACIO DO PIAUI";2
"220955 SAO BRAZ DO PIAUI";2
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";3
"220970 SAO FRANCISCO DO PIAUI";1
"220975 SAO GONCALO DO GURGUEIA";10
"220985 SAO JOAO DA CANABRAVA";1
"220987 SAO JOAO DA FRONTEIRA";1
"220995 SAO JOAO DA VARJOTA";7
"221005 SAO JOSE DO DIVINO";2
"221020 SAO JOSE DO PIAUI";2
"221030 SAO JULIAO";1
"221038 SAO MIGUEL DA BAIXA GRANDE";2
"221039 SAO MIGUEL DO FIDALGO";1
"221040 SAO MIGUEL DO TAPUIO";12
"221050 SAO PEDRO DO PIAUI";6
"221060 SAO RAIMUNDO NONATO";3
"221065 SIGEFREDO PACHECO";2
"221070 SIMOES";10
"221080 SIMPLICIO MENDES";6
"221090 SOCORRO DO PIAUI";3
"221093 SUSSUAPARA";3
"221095 TAMBORIL DO PIAUI";1
"221097 TANQUE DO PIAUI";185
"221100 TERESINA";1796
"221110 UNIAO";26
"221120 URUCUI";24
"221130 VALENCA DO PIAUI";122
"221135 VARZEA BRANCA";1
"221140 VARZEA GRANDE";203
"221160 VILA NOVA DO PIAUI";1
"221170 WALL FERRAZ";1
"230010 ABAIARA";13
"230015 ACARAPE";43
"230020 ACARAU";3
"230030 ACOPIARA";2
"230040 AIUABA";6
"230050 ALCANTARAS";3
"230060 ALTANEIRA";1
"230075 AMONTADA";5
"230080 ANTONINA DO NORTE";1
"230090 APUIARES";2
"230100 AQUIRAZ";34
"230110 ARACATI";67
"230120 ARACOIABA";7
"230125 ARARENDA";7
"230130 ARARIPE";7
"230140 ARATUBA";39
"230150 ARNEIROZ";2
"230160 ASSARE";4
"230170 AURORA";1
"230180 BAIXIO";2
"230185 BANABUIU";7
"230190 BARBALHA";297
"230195 BARREIRA";2
"230200 BARRO";7
"230205 BARROQUINHA";3
"230210 BATURITE";43
"230220 BEBERIBE";24
"230230 BELA CRUZ";3
"230240 BOA VIAGEM";36
"230250 BREJO SANTO";57
"230260 CAMOCIM";2
"230270 CAMPOS SALES";36
"230280 CANINDE";10
"230290 CAPISTRANO";70
"230300 CARIDADE";4
"230320 CARIRIACU";2
"230330 CARIUS";6
"230350 CASCAVEL";11
"230360 CATARINA";3
"230365 CATUNDA";1
"230370 CAUCAIA";57
"230380 CEDRO";6
"230390 CHAVAL";1
"230393 CHORO";6
"230395 CHOROZINHO";3
"230400 COREAU";2
"230410 CRATEUS";8
"230420 CRATO";72
"230423 CROATA";9
"230425 CRUZ";8
"230427 ERERE";4
"230428 EUSEBIO";6
"230430 FARIAS BRITO";67
"230435 FORQUILHA";1
"230440 FORTALEZA";533
"230445 FORTIM";4
"230450 FRECHEIRINHA";1
"230460 GENERAL SAMPAIO";1
"230465 GRACA";1
"230470 GRANJA";1
"230480 GRANJEIRO";1
"230490 GROAIRAS";3
"230495 GUAIUBA";6
"230500 GUARACIABA DO NORTE";3
"230510 GUARAMIRANGA";29
"230520 HIDROLANDIA";3
"230523 HORIZONTE";4
"230526 IBARETAMA";6
"230530 IBIAPINA";1
"230535 ICAPUI";31
"230540 ICO";85
"230550 IGUATU";15
"230560 INDEPENDENCIA";1
"230565 IPAPORANGA";1
"230580 IPU";7
"230590 IPUEIRAS";6
"230600 IRACEMA";2
"230620 ITAICABA";9
"230625 ITAITINGA";3
"230630 ITAPAGE";3
"230640 ITAPIPOCA";55
"230650 ITAPIUNA";2
"230655 ITAREMA";13
"230670 JAGUARETAMA";2
"230680 JAGUARIBARA";4
"230690 JAGUARIBE";70
